Stem,Frequency
le,14703
de,12315
à,9040
la,5516
l,5041
du,3508
2025,3364
et,3281
mond,3246
en,3101
d,2945
articl,2840
abonné,2623
février,2612
réservé,2552
publié,2420
no,1994
une,1785
modifié,1729
a,1624
un,1601
dan,1441
pour,1427
sur,1326
aux,1310
au,1295
est,1178
se,1137
avec,1061
par,1002
qui,811
meilleur,803
que,714
il,704
janvier,649
ce,621
vidéo,588
plu,578
s,552
tribun,549
sa,542
économi,517
son,513
an,507
01,499
mar,481
leur,459
2024,454
pa,444
aprè,433
